ID,Make,Model,Year
1,Adly,100V,2012
2,Adly,500S,2012
3,Adly,600U,2011
4,Adly,600U,2012
5,Adly,AS 50,2015
6,Adly,AS 50,2016
7,Adly,Cougar 125,2009
8,Adly,Cougar 125,2010
9,Adly,Cougar 125,2011
10,Adly,Cougar 125,2012
11,Adly,Cougar 125,2013
12,Adly,Cougar 125,2015
13,Adly,Cougar 50,2009
14,Adly,Cougar 50,2010
15,Adly,Cougar 50,2011
16,Adly,Cougar 50,2012
17,Adly,Cougar 50,2013
18,Adly,Cougar 50,2015
19,Adly,GTA 125,2015
20,Adly,GTA 50,2010
21,Adly,GTA 50,2011
22,Adly,GTA 50,2012
23,Adly,GTA 50,2013
24,Adly,GTA 50,2015
25,Adly,GTA 50,2016
26,Adly,GTA 50,2017
27,Adly,Nifty 50 (GTC 50),2010
28,Adly,Nifty 50 (GTC 50),2011
29,Adly,Nifty 50 (GTC 50),2012
30,Adly,Nifty 50 (GTC 50),2013
31,Adly,Nifty 50 (GTC 50),2015
32,Adly,Nifty 50 (GTC 50),2016
33,Adly,Nifty 50 (GTC 50),2017
34,Adly,Road Tracer 50 (RT50),2009
35,Adly,Road Tracer 50 (RT50),2010
36,Adly,Road Tracer 50 (RT50),2011
37,Adly,Road Tracer 50 (RT50),2012
38,Adly,Road Tracer 50 (RT50),2013
39,Adly,Road Tracer 50 (RT50),2015
40,Aprilia,125 Habana,2003
41,Aprilia,125 Habana,2004
42,Aprilia,Caponord 1200 ATC / ABS,2013
43,Aprilia,Caponord 1200 ATC / ABS,2014
44,Aprilia,Caponord 1200 Rally,2015
45,Aprilia,Caponord 1200 Rally,2016
46,Aprilia,Caponord 1200 Strada,2015
47,Aprilia,Caponord 1200 Strada,2016
48,Aprilia,Caponord 1200 Touring,2015
49,Aprilia,Climber 240,1989
50,Aprilia,Climber 240,1990
51,Aprilia,Climber 240,1991
52,Aprilia,Climber 280,1992
53,Aprilia,Climber 300,1989
54,Aprilia,Climber 300,1990
55,Aprilia,Dorsoduro 1200,2011
56,Aprilia,Dorsoduro 1200,2012
57,Aprilia,Dorsoduro 1200 ATC/ABS,2012
58,Aprilia,Dorsoduro 1200 ATC/ABS,2013
59,Aprilia,Dorsoduro 1200 ATC/ABS,2014
60,Aprilia,Dorsoduro 750 ABS,2012
61,Aprilia,Dorsoduro 750 ABS,2013
62,Aprilia,Dorsoduro 750 ABS,2014
